,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,2,mnist,0.7391666666666666,0.7482452672861332,0.7391666666666666,5.245833333333334
1,random_forest,2,mnist,0.7858333333333334,0.8005144732942948,0.7858333333333334,4.0728333333333335
2,adaboost,2,mnist,0.665,0.6810789542804604,0.665,5.545
