,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,3,syn,0.5536666666666666,0.5585653726812658,0.5536666666666666,8.566166666666666
1,random_forest,3,syn,0.42033333333333334,0.4184199834573289,0.42033333333333334,11.347666666666667
2,adaboost,3,syn,0.36183333333333334,0.3662905768596013,0.36183333333333334,12.011333333333333
