,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,1,svhn,0.32166666666666666,0.3458661709706631,0.32166666666666666,12.669166666666667
1,random_forest,1,svhn,0.317,0.36121189794420666,0.317,12.378666666666666
2,adaboost,1,svhn,0.2165,0.2291419810833429,0.2165,15.053666666666667
