,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,3,svhn,0.32166666666666666,0.3458661709706631,0.32166666666666666,12.669166666666667
1,random_forest,3,svhn,0.327,0.36522538341462496,0.327,11.958166666666667
2,adaboost,3,svhn,0.2295,0.2390556662265467,0.2295,14.443333333333333
