,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,2,mnist_m,0.299,0.31418584448963893,0.299,12.484833333333333
1,random_forest,2,mnist_m,0.25566666666666665,0.25615317602712806,0.25566666666666665,13.383833333333333
2,adaboost,2,mnist_m,0.25483333333333336,0.2740260082736828,0.25483333333333336,13.532
