,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,2,svhn,0.32166666666666666,0.3458661709706631,0.32166666666666666,12.669166666666667
1,random_forest,2,svhn,0.31833333333333336,0.35954185220268914,0.31833333333333336,12.312333333333333
2,adaboost,2,svhn,0.23833333333333334,0.24935498022489608,0.23833333333333334,14.677333333333333
