,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,1,mnist_m,0.299,0.31418584448963893,0.299,12.484833333333333
1,random_forest,1,mnist_m,0.25466666666666665,0.2543954027857914,0.25466666666666665,13.4545
2,adaboost,1,mnist_m,0.2485,0.26663400313755753,0.2485,14.366666666666667
