,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,3,mnist,0.7391666666666666,0.7482452672861332,0.7391666666666666,5.245833333333334
1,random_forest,3,mnist,0.7986666666666666,0.811214051100267,0.7986666666666666,3.7961666666666667
2,adaboost,3,mnist,0.663,0.6784094480196294,0.663,5.4845
