,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,1,syn,0.5536666666666666,0.5585653726812658,0.5536666666666666,8.566166666666666
1,random_forest,1,syn,0.42383333333333334,0.4233176824076541,0.42383333333333334,11.263833333333332
2,adaboost,1,syn,0.3405,0.3441951485571934,0.3405,12.271
