,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,1,mnist,0.7391666666666666,0.7482452672861332,0.7391666666666666,5.245833333333334
1,random_forest,1,mnist,0.7873333333333333,0.7994501238785571,0.7873333333333333,4.0445
2,adaboost,1,mnist,0.685,0.6992612644342251,0.685,5.3966666666666665
