,method,seed,target_domain,accuracy,precision,recall,mse
0,svm,3,mnist_m,0.299,0.31418584448963893,0.299,12.484833333333333
1,random_forest,3,mnist_m,0.2618333333333333,0.2688333062519169,0.2618333333333333,13.858
2,adaboost,3,mnist_m,0.24933333333333332,0.270960537644167,0.24933333333333332,13.322333333333333
